ChiZ164, 293.00, 0.0650, 7.0,5,
DomainV, 288.15, 0.1985, 7.0,5,
DSS1, 288.00, 0.1700, 7.4,5,
BMAL1P624A, 283.25, 0.1540, 7.2,5,
VWF, 293.00, 0.1530, 7.4,5,
p27Cv56, 293.00, 0.0950, 7.2,5,
p27Cv14, 293.00, 0.0950, 7.2,5,
p27Cv78, 293.00, 0.0950, 7.2,5,
p27Cv31, 293.00, 0.0950, 7.2,5,
p27Cv44, 293.00, 0.0950, 7.2,5,
p27Cv15, 293.00, 0.0950, 7.2,5,
PTMA, 288.00, 0.1600, 7.4,5,
GON7, 283.00, 0.2110, 6.5,5,
NHE6cmdd, 288.00, 0.1700, 7.4,5,
hKISS1, 283.15, 0.1590, 7.0,5,
TtASR1, 293.15, 0.1500, 7.3,5,
HvASR1, 293.15, 0.1500, 7.3,5,
TIF2NRID, 283.15, 0.1750, 6.8,5,
ED4, 293.15, 0.1530, 7.4,5,
ANAC046, 298.00, 0.1400, 7.0,5,
PARCL, 293.15, 0.1700, 7.5,5,
N_FATZ1, 293.15, 0.1920, 7.5,5,
D91_FATZ1, 293.00, 0.1800, 7.5,5,
cDAXX, 293.00, 0.1300, 8.0,5,
ED3, 293.15, 0.1530, 7.4,5,
SH4UD_SH3_SH2, 293.15, 0.216, 8.0,5, 94-150;166-258
H46, 283.00, 0.163, 6.5,5,140-355
TDP43W2A, 293.15, 0.312, 8.0,5, 5-77;107-177;193-260;321-329
PCPE, 293.15, 0.506, 7.4,5,12-125;134-249;293-412
NiV_V, 293.15, 0.232, 8.0,5,406-457
HeV_V, 293.15, 0.232, 8.0,5,404-456
D14, 283.15, 0.156, 7.5,5,31-121;157-246;265-354;400-479
S4FL, 283.15, 0.169, 7.2,50,15-138;287-294;323-466;492-542
ChiAM, 293.15, 0.282, 8.0,1,8-89;92-172;178-257;266-356;359-462;471-567;578-668
